Area(SQM),Price,Negotiable,Balcony,Electricity,Water,Gas,Landline,Elevator,Security,Built_in_Kitchen,Maids_Room,Private_Garden,Parking,Central(A/C)& heating,Pool,Furnished,Bedroom,Bathroom,Location,Type,Level,Compound,Delivery_Date,Delivery_Term
175.0,1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1189024390243902,3,2,Laurent,Apartment,10+,Nakheel,Ready,Finished
125.0,2375000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,2,Smoha,Apartment,5,Murooj,2024,Finished
114.0,1995000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,Smoha,Apartment,3,Murooj,soon,Finished
92.0,2500000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2,1,Stanley,Apartment,10+,Nakheel,2025,Finished
160.0,1350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,Sidi Gaber,Apartment,8,Nakheel,Ready,Finished
145.0,3262500.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1189024390243902,3,2,Moharam Bik,Apartment,5,Nakheel,within 6 months,Finished
80.0,250000.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,Seyouf,Apartment,5,Nakheel,soon,Finished
177.0,3450000.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3,2,Moharam Bik,Apartment,4,Nakheel,soon,Finished
70.0,220000.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,Agami,Apartment,4,Nakheel,Ready,Finished
125.0,2500000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3,2,Smoha,Apartment,3,Nakheel,soon,Finished
177.0,3450000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3,2,Moharam Bik,Apartment,7,Nakheel,soon,Finished
110.0,3000000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3,2,Moharam Bik,Apartment,2,Nakheel,soon,Finished
120.0,370000.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,Nakheel,Apartment,9,Nakheel,Ready,Finished
116.0,1300000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2,Al Hadrah,Apartment,3,Nakheel,Ready,Finished
150.0,290000.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2,1,Nakheel,Apartment,10+,Nakheel,Ready,Finished
220.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,Stanley,Apartment,3,Nakheel,Ready,Finished
160.0,3000000.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3,2,Cleopatra,Apartment,10+,Nakheel,Ready,Finished
175.0,2200000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,Smoha,Apartment,2,Nakheel,Ready,Finished
160.0,1250000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2,Miami,Apartment,3,Nakheel,Ready,Finished
184.0,4350000.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,Moharam Bik,Apartment,4,Nakheel,2025,Finished
